inquiry_id,date,channel,category,outcome
I00000,2024-06-01,WhatsApp,Amplificador,Cancelado
I00001,2024-06-01,TikTok,Bocinas,Cotización enviada
I00010,2024-06-02,WhatsApp,Subwoofer,Venta concretada
I00011,2024-06-02,WhatsApp,Head Unit,Cancelado
I00012,2024-06-02,Instagram,Accesorios,Sin respuesta
I00013,2024-06-02,WhatsApp,Head Unit,Cancelado
I00020,2024-06-03,Facebook,Accesorios,Venta concretada
I00021,2024-06-03,WhatsApp,Subwoofer,Venta concretada
I00022,2024-06-03,WhatsApp,Accesorios,Cotización enviada
I00023,2024-06-03,Instagram,Head Unit,Venta concretada
I00024,2024-06-03,Instagram,Amplificador,Venta concretada
I00030,2024-06-04,WhatsApp,Bocinas,Cotización enviada
I00040,2024-06-05,Instagram,Head Unit,Sin respuesta
I00041,2024-06-05,WhatsApp,Amplificador,Cotización enviada
I00042,2024-06-05,Instagram,Accesorios,Venta concretada
I00043,2024-06-05,Instagram,Subwoofer,Venta concretada
I00044,2024-06-05,WhatsApp,Bocinas,Cancelado
I00050,2024-06-06,Tienda física,Amplificador,Sin respuesta
I00051,2024-06-06,WhatsApp,Head Unit,Venta concretada
I00052,2024-06-06,TikTok,Subwoofer,Cotización enviada
I00053,2024-06-06,WhatsApp,Bocinas,Cotización enviada
I00054,2024-06-06,WhatsApp,Head Unit,Cancelado
I00060,2024-06-07,WhatsApp,Amplificador,Sin respuesta
I00061,2024-06-07,WhatsApp,Bocinas,Cotización enviada
I00062,2024-06-07,Instagram,Bocinas,Venta concretada
I00063,2024-06-07,Tienda física,Head Unit,Sin respuesta
I00064,2024-06-07,Tienda física,Accesorios,Cancelado
I00065,2024-06-07,Instagram,Head Unit,Cancelado
I00070,2024-06-08,WhatsApp,Bocinas,Venta concretada
I00071,2024-06-08,WhatsApp,Bocinas,Venta concretada
I00072,2024-06-08,WhatsApp,Amplificador,Venta concretada
I00080,2024-06-09,Facebook,Head Unit,Cotización enviada
I00081,2024-06-09,WhatsApp,Amplificador,Cotización enviada
I00082,2024-06-09,WhatsApp,Amplificador,Sin respuesta
I00090,2024-06-10,WhatsApp,Amplificador,Cancelado
I00091,2024-06-10,TikTok,Amplificador,Venta concretada
