product_id,current_stock,reorder_point,max_stock,last_restock,status
P001,20,5,30,2026-04-27,OK
P002,0,4,20,2026-03-18,Crítico
P003,8,3,15,2026-04-19,OK
P004,7,4,25,2026-04-26,OK
P005,3,5,20,2026-03-22,Bajo
P006,23,6,30,2026-03-31,Sobrestock
P007,2,3,15,2026-03-28,Bajo
P008,27,10,50,2026-05-02,OK
P009,0,6,25,2026-04-29,Crítico
P010,6,5,25,2026-04-20,OK
P011,32,8,40,2026-03-27,Sobrestock
P012,0,4,20,2026-03-30,Crítico
P013,6,5,20,2026-03-20,OK
P014,34,8,35,2026-04-08,Sobrestock
P015,7,4,20,2026-04-06,OK
P016,18,5,20,2026-04-17,Sobrestock
P017,51,15,60,2026-03-10,Sobrestock
P018,0,20,80,2026-03-17,Crítico
P019,10,12,50,2026-03-21,Bajo
P020,27,10,40,2026-04-13,OK
