sale_id,date,product_id,brand,category,quantity,unit_price,discount,revenue_gtq,profit_gtq
S00001,2024-01-01,P004,Rockford Fosgate,Subwoofer,2,3999,0.0,7998.0,3598.0
S00002,2024-01-01,P008,Pioneer,Bocinas,2,699,0.1,1258.2,558.2
S00003,2024-01-01,P009,Pioneer,Subwoofer,2,1699,0.0,3398.0,1598.0
S00004,2024-01-01,P016,KBT Electronics,Amplificador,1,1799,0.0,1799.0,849.0
S00005,2024-01-02,P008,Pioneer,Bocinas,3,699,0.0,2097.0,1047.0
S00006,2024-01-02,P018,Stinger,Accesorios,1,249,0.0,249.0,129.0
S00007,2024-01-02,P020,Soundskins,Accesorios,3,699,0.0,2097.0,1047.0
S00008,2024-01-03,P006,Rockford Fosgate,Subwoofer,3,2599,0.1,7017.3,2817.3
S00009,2024-01-03,P013,Cerwin Vega,Subwoofer,2,1799,0.0,3598.0,1698.0
S00010,2024-01-03,P017,Stinger,Accesorios,3,349,0.05,994.65,454.65
S00011,2024-01-04,P006,Rockford Fosgate,Subwoofer,3,2599,0.0,7797.0,3597.0
S00012,2024-01-04,P011,JBL,Bocinas,3,999,0.0,2997.0,1497.0
S00013,2024-01-05,P014,Cerwin Vega,Bocinas,3,849,0.05,2419.65,1159.65
S00014,2024-01-05,P018,Stinger,Accesorios,3,249,0.05,709.65,349.65
S00015,2024-01-05,P020,Soundskins,Accesorios,3,699,0.1,1887.3,837.3
S00016,2024-01-06,P011,JBL,Bocinas,1,999,0.0,999.0,499.0
S00017,2024-01-06,P016,KBT Electronics,Amplificador,3,1799,0.0,5397.0,2547.0
S00018,2024-01-06,P017,Stinger,Accesorios,1,349,0.0,349.0,169.0
S00019,2024-01-06,P018,Stinger,Accesorios,1,249,0.0,249.0,129.0
S00020,2024-01-06,P020,Soundskins,Accesorios,1,699,0.1,629.1,279.1
S00021,2024-01-07,P005,Rockford Fosgate,Amplificador,3,2899,0.05,8262.15,3462.15
S00022,2024-01-07,P009,Pioneer,Subwoofer,3,1699,0.0,5097.0,2397.0
S00023,2024-01-07,P010,JBL,Subwoofer,3,1999,0.0,5997.0,2697.0
S00024,2024-01-07,P012,JBL,Amplificador,1,2399,0.0,2399.0,1099.0
S00025,2024-01-07,P014,Cerwin Vega,Bocinas,1,849,0.0,849.0,429.0
S00026,2024-01-07,P017,Stinger,Accesorios,3,349,0.0,1047.0,507.0
